,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
14,215. Ville Husso,DET,28,"Feb. 6, 1995",Finland,205 lbs - 93 kg,"6'2"" - 188 cm",G,Left,94 - Round 4 - 2014 (STL),,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,0.0,3.56,0.892,3.55,3.68,0.12,DET,Standard (1-way),✔,"Jul. 8, 2022",27,,,M-NTC,3,UFA,UFA,2025,"$4,750,000",5.8%,"$4,750,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
15,216. Ilya Mikheyev,VAN,28,"Oct. 10, 1994",Russia,195 lbs - 88 kg,"6'3"" - 191 cm","LW, RW",Left,,,,,78,11.0,20.0,31.0,0.4,1.0,147.0,0.07,14:15,16.17,144.0,235.0,199.0,0.88,7.87,12.84,10.88,497.0,474.0,51.18,1060.0,954.0,52.63,759.0,691.0,52.34,52.82,46.29,53.29,,,,,,,,,VAN,Standard (1-way),,"Jul. 13, 2022",27,,,M-NTC,4,UFA,UFA,2026,"$4,750,000",5.8%,"$4,750,000","$5,350,000","$5,350,000","$5,350,000",$0,$0
16,217. Victor Olofsson,BUF,27,"Jul. 18, 1995",Sweden,183 lbs - 83 kg,"5'11"" - 180 cm","RW, LW",Left,181 - Round 7 - 2014 (BUF),,,,51,7.0,8.0,15.0,0.29,-1.0,66.0,0.11,11:34,5.86,66.0,127.0,97.0,0.6,6.71,12.92,9.86,277.0,250.0,52.56,538.0,510.0,51.34,407.0,391.0,51.0,26.22,26.05,50.16,,,,,,,,,BUF,Standard (1-way),,"Jul. 13, 2022",26,✔,,,2,RFA,UFA,2024,"$4,750,000",5.8%,"$4,750,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
17,218. Alex Tuch,BUF,27,"May 10, 1996",United States,220 lbs - 100 kg,"6'4"" - 193 cm","RW, LW",Right,18 - Round 1 - 2014 (MIN),,,,75,22.0,37.0,59.0,0.79,9.0,192.0,0.11,19:30,24.49,192.0,356.0,287.0,1.0,7.88,14.6,11.77,884.0,671.0,56.85,1682.0,1392.0,54.72,1242.0,1020.0,54.91,94.91,92.67,50.6,,,,,,,,,VGK,Standard (1-way),✔,"Oct. 19, 2018",23,,,M-NTC,7,RFA,UFA,2026,"$4,750,000",6.0%,"$4,750,000","$4,750,000","$4,750,000","$4,750,000",$0,$0
18,219. Ben Chiarot,DET,32,"May 9, 1991",Canada,234 lbs - 106 kg,"6'3"" - 191 cm",LD/RD,Left,120 - Round 4 - 2009 (ATL),,,,77,5.0,15.0,20.0,0.26,-4.0,107.0,0.05,19:46,4.98,107.0,232.0,153.0,0.2,4.22,9.14,6.03,637.0,926.0,40.75,1236.0,1894.0,39.49,900.0,1339.0,40.2,61.01,90.53,40.26,,,,,,,,,DET,Standard (1-way),,"Jul. 13, 2022",31,,,M-NTC,4,UFA,UFA,2026,"$4,750,000",5.8%,"$4,750,000","$5,250,000","$5,250,000","$5,250,000",$0,$0
19,220. David Perron,DET,35,"May 28, 1988",Canada,200 lbs - 91 kg,"6'0"" - 183 cm","RW, LW",Right,26 - Round 1 - 2007 (STL),,,,76,17.0,30.0,47.0,0.62,-12.0,151.0,0.11,15:37,18.43,151.0,261.0,200.0,0.93,7.63,13.18,10.1,633.0,523.0,54.76,1261.0,1022.0,55.23,894.0,753.0,54.28,72.62,57.71,55.72,,,,,,,,,DET,Standard (1-way),,"Jul. 13, 2022",34,,,M-NTC,2,UFA,UFA,2024,"$4,750,000",5.8%,"$4,750,000","$5,150,000","$5,150,000","$5,150,000",$0,$0
20,221. Kevin Labanc,SJS,27,"Dec. 12, 1995",United States,185 lbs - 84 kg,"5'11"" - 180 cm","RW, LW",Right,171 - Round 6 - 2014 (SJS),,,,46,2.0,7.0,9.0,0.2,-27.0,60.0,0.03,11:37,5.38,60.0,115.0,84.0,0.6,6.73,12.91,9.43,250.0,269.0,48.17,530.0,529.0,50.05,369.0,387.0,48.81,23.47,26.73,46.75,,,,,,,,,SJS,Standard (1-way),,"Oct. 10, 2020",24,✔,,,4,RFA,UFA,2024,"$4,725,000",5.8%,"$4,725,000","$5,875,000","$5,875,000","$5,875,000",$0,$0
21,222. Artem Zub,OTT,27,"Oct. 3, 1995",Russia,202 lbs - 92 kg,"6'2"" - 188 cm",RD,Right,,,,,69,5.0,20.0,25.0,0.36,5.0,85.0,0.06,21:01,5.11,85.0,188.0,129.0,0.21,3.52,7.78,5.34,699.0,757.0,48.01,1350.0,1513.0,47.15,993.0,1082.0,47.86,67.05,79.48,45.76,,,,,,,,,OTT,Standard (1-way),✔,"Dec. 21, 2022",27,,,M-NTC,4,UFA,UFA,2027,"$4,600,000",5.6%,"$4,600,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
22,223. Jakob Chychrun,OTT,25,"Mar. 31, 1998",United States,210 lbs - 95 kg,"6'2"" - 188 cm",LD/RD,Left,16 - Round 1 - 2016 (ARI),,,,82,14.0,27.0,41.0,0.5,-30.0,204.0,0.07,22:23,13.75,205.0,485.0,327.0,0.45,6.7,15.85,10.69,1036.0,861.0,54.61,2093.0,1708.0,55.06,1514.0,1209.0,55.6,107.15,86.95,55.2,,,,,,,,,ARI,Standard (1-way),✔,"Nov. 13, 2018",21,,,M-NTC,6,RFA,UFA,2025,"$4,600,000",5.8%,"$4,600,000","$5,400,000","$4,400,000","$5,400,000","$1,000,000",$0
23,224. Jamie Oleksiak,SEA,30,"Dec. 21, 1992",Canada,255 lbs - 116 kg,"6'7"" - 201 cm",LD/RD,Left,14 - Round 1 - 2011 (DAL),,,,82,2.0,13.0,15.0,0.18,-2.0,108.0,0.02,19:38,5.54,108.0,211.0,146.0,0.21,4.07,7.95,5.5,686.0,911.0,42.96,1364.0,1953.0,41.12,988.0,1380.0,41.72,66.12,98.38,40.19,,,,,,,,,SEA,Standard (1-way),✔,"Jul. 21, 2021",28,,,NTC,5,UFA,UFA,2026,"$4,600,000",5.6%,"$4,600,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
24,225. Rasmus Andersson,CGY,26,"Oct. 27, 1996",Sweden,214 lbs - 97 kg,"6'1"" - 185 cm",RD,Right,53 - Round 2 - 2015 (CGY),,,,78,9.0,30.0,39.0,0.5,-11.0,159.0,0.06,23:49,9.98,158.0,338.0,237.0,0.33,5.16,11.05,7.75,1001.0,975.0,50.66,2044.0,1990.0,50.67,1480.0,1414.0,51.14,110.46,119.55,48.02,,,,,,,,,CGY,Standard (1-way),✔,"Jan. 8, 2020",23,,,,6,RFA,UFA,2026,"$4,550,000",5.6%,"$4,550,000","$4,550,000","$4,550,000","$4,550,000",$0,$0
25,226. Josh Manson,COL,31,"Oct. 7, 1991",United States,218 lbs - 99 kg,"6'3"" - 191 cm",RD,Right,160 - Round 6 - 2011 (ANA),,,,76,8.0,17.0,25.0,0.33,11.0,123.0,0.07,17:46,6.55,122.0,292.0,177.0,0.28,5.49,13.14,7.96,671.0,664.0,50.26,1336.0,1307.0,50.55,938.0,942.0,49.89,62.85,72.04,46.59,,,,,,,,,COL,Standard (1-way),,"Jul. 13, 2022",30,,,NTC,4,UFA,UFA,2026,"$4,500,000",5.5%,"$4,500,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
26,227. Michael Bunting,PIT,27,"Sep. 17, 1995",Canada,197 lbs - 89 kg,"5'11"" - 180 cm",LW,Left,117 - Round 4 - 2014 (ARI),,,,81,19.0,36.0,55.0,0.68,-19.0,168.0,0.11,15:40,25.53,168.0,332.0,242.0,1.21,7.93,15.68,11.43,808.0,540.0,59.94,1683.0,1010.0,62.5,1205.0,772.0,60.95,88.78,61.0,59.27,,,,,,,,,CAR,Standard (1-way),,"Jul. 1, 2023",27,,,M-NTC,3,UFA,UFA,2026,"$4,500,000",5.4%,"$4,500,000","$4,500,000","$1,500,000","$4,500,000","$3,000,000",$0
27,228. Artturi Lehkonen,COL,27,"Jul. 4, 1995",Finland,180 lbs - 82 kg,"6'0"" - 183 cm","LW, RW",Left,55 - Round 2 - 2013 (MTL),,,,45,16.0,18.0,34.0,0.76,11.0,103.0,0.16,18:28,16.54,102.0,166.0,133.0,1.22,7.51,12.22,9.78,515.0,360.0,58.86,989.0,694.0,58.76,715.0,520.0,57.89,55.83,41.75,57.21,,,,,,,,,COL,Standard (1-way),,"Jul. 13, 2022",26,✔,,NTC,5,RFA,UFA,2027,"$4,500,000",5.5%,"$4,500,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
28,229. Mike Hoffman,SJS,33,"Nov. 24, 1989",Canada,190 lbs - 86 kg,"6'0"" - 183 cm",LW,Left,130 - Round 5 - 2009 (OTT),,,,66,10.0,13.0,23.0,0.35,-21.0,71.0,0.14,13:43,8.61,71.0,160.0,113.0,0.56,4.7,10.59,7.48,404.0,446.0,47.53,831.0,899.0,48.03,600.0,655.0,47.81,42.64,50.35,45.85,,,,,,,,,MTL,Standard (1-way),,"Jul. 28, 2021",31,,,,3,UFA,UFA,2024,"$4,500,000",5.5%,"$4,500,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
29,230. Ryan Graves,PIT,28,"May 21, 1995",Canada,220 lbs - 100 kg,"6'5"" - 196 cm",LD,Left,110 - Round 4 - 2013 (NYR),,,,70,3.0,11.0,14.0,0.2,10.0,77.0,0.04,18:23,3.15,77.0,190.0,107.0,0.15,3.59,8.86,4.99,633.0,679.0,48.25,1213.0,1472.0,45.18,885.0,1035.0,46.09,63.98,69.83,47.81,,,,,,,,,PIT,Standard (1-way),,"Jul. 1, 2023",28,,,M-NTC,6,UFA,UFA,2029,"$4,500,000",5.4%,"$4,500,000","$5,750,000","$3,750,000","$5,750,000","$2,000,000",$0
30,231. Tyson Barrie,NSH,31,"Jul. 26, 1991",Canada,197 lbs - 89 kg,"5'11"" - 180 cm",RD,Right,64 - Round 3 - 2009 (COL),,,,41,1.0,14.0,15.0,0.37,-10.0,65.0,0.02,18:19,4.37,65.0,151.0,95.0,0.35,5.19,12.06,7.59,414.0,390.0,51.49,791.0,725.0,52.18,572.0,528.0,52.0,44.38,40.76,52.13,,,,,,,,,EDM,Standard (1-way),,"Jul. 28, 2021",29,,,,3,UFA,UFA,2024,"$4,500,000",5.5%,"$4,500,000","$5,000,000","$3,750,000","$5,000,000","$1,250,000",$0
31,232. Brandon Saad,STL,30,"Oct. 27, 1992",United States,206 lbs - 93 kg,"6'1"" - 185 cm","LW, RW",Left,43 - Round 2 - 2011 (CHI),,,,82,26.0,16.0,42.0,0.51,-4.0,144.0,0.18,15:30,20.56,144.0,247.0,200.0,0.97,6.8,11.66,9.44,652.0,694.0,48.44,1207.0,1343.0,47.33,915.0,978.0,48.34,68.53,64.56,51.49,,,,,,,,,STL,Standard (1-way),,"Jul. 29, 2021",28,,,NTC,5,UFA,UFA,2026,"$4,500,000",5.5%,"$4,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
32,233. Alexander Wennberg,NYR,28,"Sep. 22, 1994",Sweden,197 lbs - 89 kg,"6'2"" - 188 cm",C,Left,14 - Round 1 - 2013 (CBJ),,,,79,10.0,20.0,30.0,0.38,0.0,90.0,0.11,17:59,14.35,91.0,152.0,120.0,0.61,3.84,6.42,5.07,656.0,732.0,47.26,1324.0,1524.0,46.49,943.0,1088.0,46.43,72.79,85.65,45.94,,,,,,,,,SEA,Standard (1-way),,"Jul. 28, 2021",26,,,M-NTC,3,UFA,UFA,2024,"$4,500,000",5.5%,"$4,500,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
33,234. Mason Marchment,DAL,28,"Jun. 18, 1995",Canada,201 lbs - 91 kg,"6'4"" - 193 cm","LW, RW",Left,,,,,81,22.0,31.0,53.0,0.65,22.0,150.0,0.15,15:03,20.74,150.0,283.0,230.0,1.02,7.38,13.92,11.31,651.0,557.0,53.89,1327.0,1121.0,54.21,971.0,822.0,54.16,71.78,50.07,58.91,,,,,,,,,DAL,Standard (1-way),,"Jul. 13, 2022",27,,,M-NTC,4,UFA,UFA,2026,"$4,500,000",5.5%,"$4,500,000","$4,800,000","$4,800,000","$4,800,000",$0,$0
34,235. Ryan O'Reilly,NSH,32,"Feb. 7, 1991",Canada,216 lbs - 98 kg,"6'1"" - 185 cm",C,Left,33 - Round 2 - 2009 (COL),,,,82,26.0,43.0,69.0,0.84,6.0,180.0,0.14,19:45,29.6,180.0,294.0,248.0,1.1,6.66,10.88,9.18,975.0,740.0,56.85,1963.0,1456.0,57.41,1394.0,1045.0,57.15,116.39,90.49,56.26,,,,,,,,,NSH,Standard (1-way),,"Jul. 1, 2023",32,,,,4,UFA,UFA,2027,"$4,500,000",5.4%,"$4,500,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
35,236. Nikita Zaitsev,CHI,31,"Oct. 29, 1991",Russia,195 lbs - 88 kg,"6'2"" - 188 cm",RD,Right,,,,,38,2.0,5.0,7.0,0.18,-5.0,31.0,0.06,15:55,1.13,31.0,90.0,52.0,0.11,3.07,8.92,5.15,244.0,356.0,40.67,513.0,690.0,42.64,361.0,495.0,42.17,22.21,29.91,42.61,,,,,,,,,TOR,Standard (1-way),✔,"May 2, 2017",25,✔,,M-NTC,7,RFA,UFA,2024,"$4,500,000",6.2%,"$4,500,000","$4,500,000","$2,500,000","$4,500,000","$2,000,000",$0
36,237. Christopher Tanev,DAL,33,"Dec. 20, 1989",Canada,197 lbs - 89 kg,"6'2"" - 188 cm",RD,Right,,,,,75,2.0,17.0,19.0,0.25,22.0,56.0,0.04,19:41,1.44,56.0,118.0,76.0,0.06,2.27,4.8,3.09,677.0,717.0,48.57,1327.0,1563.0,45.92,986.0,1070.0,47.96,74.31,83.42,47.12,,,,,,,,,CGY,Standard (1-way),,"Oct. 9, 2020",30,,,M-NTC,4,UFA,UFA,2024,"$4,500,000",5.5%,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",$0,$0
37,238. Christian Dvorak,MTL,27,"Feb. 2, 1996",United States,200 lbs - 91 kg,"6'1"" - 185 cm",C,Left,58 - Round 2 - 2014 (ARI),,,,30,5.0,4.0,9.0,0.3,-5.0,35.0,0.14,15:31,4.46,35.0,63.0,44.0,0.56,4.51,8.11,5.67,182.0,276.0,39.74,376.0,565.0,39.96,261.0,399.0,39.54,18.97,31.38,37.68,,,,,,,,,ARI,Standard (1-way),✔,"Aug. 9, 2018",23,,,M-NTC,6,RFA,UFA,2025,"$4,450,000",5.6%,"$4,450,000","$5,725,000","$5,725,000","$5,725,000",$0,$0
38,239. Filip Chytil,NYR,23,"Sep. 5, 1999",Czech Republic,206 lbs - 93 kg,"6'2"" - 188 cm","C, LW",Left,21 - Round 1 - 2017 (NYR),,,,10,0.0,6.0,6.0,0.6,0.0,22.0,0.0,15:55,1.72,22.0,40.0,33.0,0.65,8.28,15.07,12.43,81.0,63.0,56.25,165.0,118.0,58.3,121.0,93.0,56.54,8.26,6.38,56.42,,,,,,,,,NYR,Standard (1-way),✔,"Mar. 29, 2023",23,✔,,,4,RFA,UFA,2027,"$4,437,500",5.4%,"$4,437,500","$4,500,000","$3,500,000","$4,500,000","$1,000,000",$0
39,240. Sam Bennett,FLA,27,"Jun. 20, 1996",Canada,195 lbs - 88 kg,"6'1"" - 185 cm",C,Left,4 - Round 1 - 2014 (CGY),,,,69,20.0,21.0,41.0,0.59,17.0,171.0,0.12,16:36,24.53,170.0,350.0,246.0,1.28,8.9,18.32,12.88,768.0,548.0,58.36,1556.0,960.0,61.84,1093.0,744.0,59.5,88.1,51.74,63.0,,,,,,,,,FLA,Standard (1-way),✔,"Jul. 26, 2021",25,✔,,,4,RFA,UFA,2025,"$4,425,000",5.4%,"$4,425,000","$6,350,000","$6,350,000","$6,350,000",$0,$0
40,241. John Marino,NJD,26,"May 21, 1997",United States,181 lbs - 82 kg,"6'1"" - 185 cm",RD,Right,154 - Round 6 - 2015 (EDM),,,,75,4.0,21.0,25.0,0.33,-6.0,57.0,0.07,20:57,5.33,57.0,154.0,86.0,0.2,2.18,5.88,3.28,661.0,851.0,43.72,1336.0,1598.0,45.54,951.0,1210.0,44.01,72.84,93.8,43.71,,,,,,,,,PIT,Standard (1-way),✔,"Jan. 3, 2021",24,✔,,,6,RFA,UFA,2027,"$4,400,000",5.4%,"$4,400,000","$5,250,000","$5,250,000","$5,250,000",$0,$0
41,242. Filip Hronek,VAN,25,"Nov. 2, 1997",Czech Republic,183 lbs - 83 kg,"6'0"" - 183 cm",RD,Right,53 - Round 2 - 2016 (DET),,,✔,81,5.0,43.0,48.0,0.59,33.0,148.0,0.03,23:26,7.85,148.0,379.0,230.0,0.25,4.68,11.98,7.27,909.0,951.0,48.87,1930.0,1768.0,52.19,1354.0,1351.0,50.06,105.9,104.75,50.27,,,,,,,,,DET,Standard (1-way),,"Sep. 3, 2021",23,,,,3,RFA,RFA,2024,"$4,400,000",5.4%,"$4,400,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
42,243. Connor Murphy,CHI,30,"Mar. 26, 1993",United States,212 lbs - 96 kg,"6'4"" - 193 cm",RD,Right,20 - Round 1 - 2011 (ARI),,,,46,2.0,6.0,8.0,0.17,-19.0,51.0,0.04,19:49,1.75,51.0,111.0,70.0,0.12,3.35,7.3,4.59,382.0,516.0,42.54,706.0,1043.0,40.36,514.0,730.0,41.32,31.56,56.66,35.77,,,,,,,,,CHI,Standard (1-way),✔,"Aug. 31, 2021",29,,,M-NTC,4,UFA,UFA,2026,"$4,400,000",5.4%,"$4,400,000","$5,800,000","$5,800,000","$5,800,000",$0,$0
43,244. Lawson Crouse,UTA,26,"Jun. 23, 1997",Canada,220 lbs - 100 kg,"6'4"" - 193 cm","LW, RW",Left,11 - Round 1 - 2015 (FLA),,,,81,23.0,19.0,42.0,0.52,-7.0,171.0,0.13,16:49,20.97,172.0,309.0,233.0,0.92,7.58,13.61,10.26,646.0,749.0,46.31,1280.0,1495.0,46.13,930.0,1106.0,45.68,70.5,84.87,45.38,,,,,,,,,ARI,Standard (1-way),,"Aug. 8, 2022",25,✔,✔,,5,RFA,UFA,2027,"$4,300,000",5.2%,"$4,300,000","$4,600,000","$4,600,000","$4,600,000",$0,$0
44,245. Mattias Samuelsson,BUF,23,"Mar. 14, 2000",United States,218 lbs - 99 kg,"6'4"" - 193 cm",LD,Left,32 - Round 2 - 2018 (BUF),,,,41,1.0,6.0,7.0,0.17,4.0,44.0,0.02,20:30,1.12,44.0,94.0,61.0,0.08,3.14,6.71,4.34,387.0,452.0,46.13,728.0,907.0,44.53,550.0,648.0,45.91,37.65,47.91,44.01,,,,,,,,,BUF,Standard (1-way),✔,"Oct. 12, 2022",23,,,,7,RFA,UFA,2030,"$4,285,714",5.2%,"$4,285,714","$4,285,716","$2,285,716","$4,285,716","$2,000,000",$0
45,246. Andreas Athanasiou,CHI,28,"Aug. 6, 1994",Canada,188 lbs - 85 kg,"6'2"" - 188 cm","LW, RW",Left,110 - Round 4 - 2012 (DET),,,,28,2.0,7.0,9.0,0.32,-7.0,44.0,0.05,13:05,3.81,43.0,79.0,56.0,0.64,7.25,13.31,9.44,164.0,205.0,44.44,310.0,399.0,43.72,211.0,296.0,41.62,14.62,19.76,42.52,,,,,,,,,CHI,Standard (1-way),✔,"Jun. 7, 2023",28,,,,2,UFA,UFA,2025,"$4,250,000",5.2%,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
46,247. Viktor Arvidsson,LAK,30,"Apr. 8, 1993",Sweden,180 lbs - 82 kg,"5'9"" - 175 cm","RW, LW",Right,112 - Round 4 - 2014 (NSH),,,,18,6.0,9.0,15.0,0.83,4.0,59.0,0.1,16:41,5.91,56.0,95.0,76.0,1.25,11.82,20.04,16.04,178.0,101.0,63.8,332.0,222.0,59.93,249.0,156.0,61.48,19.57,12.88,60.32,,,,,,,,,NSH,Standard (1-way),,"Jul. 22, 2017",24,✔,✔,,7,RFA,UFA,2024,"$4,250,000",5.7%,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0
47,248. Tyler Toffoli,WPG,31,"Apr. 24, 1992",Canada,197 lbs - 89 kg,"6'0"" - 183 cm","RW, LW",Right,47 - Round 2 - 2010 (LAK),,,,79,33.0,22.0,55.0,0.7,-6.0,229.0,0.14,16:57,30.03,225.0,427.0,327.0,1.36,10.21,19.37,14.83,910.0,570.0,61.49,1853.0,1044.0,63.96,1302.0,814.0,61.53,107.45,69.05,60.88,,,,,,,,,MTL,Standard (1-way),,"Oct. 12, 2020",28,,,,4,UFA,UFA,2024,"$4,250,000",5.2%,"$4,250,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
48,249. Trevor Moore,LAK,28,"Mar. 31, 1995",United States,185 lbs - 84 kg,"5'10"" - 178 cm","LW, RW",Left,,,,,82,31.0,26.0,57.0,0.7,11.0,244.0,0.13,17:58,32.03,242.0,435.0,361.0,1.32,9.97,17.92,14.87,858.0,657.0,56.63,1645.0,1333.0,55.24,1236.0,934.0,56.96,89.96,72.83,55.26,,,,,,,,,LAK,Standard (1-way),✔,"Dec. 15, 2022",28,,,M-NTC,5,UFA,UFA,2028,"$4,200,000",5.1%,"$4,200,000","$4,500,000","$3,500,000","$4,500,000","$1,000,000",$0
49,250. Carter Verhaeghe,FLA,27,"Aug. 14, 1995",Canada,177 lbs - 80 kg,"6'1"" - 185 cm",LW,Left,82 - Round 3 - 2013 (TOR),,,,76,34.0,38.0,72.0,0.95,17.0,246.0,0.14,17:57,30.95,248.0,501.0,339.0,1.36,10.9,22.02,14.9,973.0,588.0,62.33,1960.0,1058.0,64.94,1383.0,833.0,62.41,115.78,59.21,66.16,,,,,,,,,FLA,Standard (1-way),✔,"Jul. 28, 2021",26,✔,,,3,RFA,UFA,2025,"$4,166,667",5.1%,"$4,166,667","$5,000,000","$4,500,000","$5,000,000","$500,000",$0
0,251. Anthony Beauvillier,NSH,26,"Jun. 8, 1997",Canada,182 lbs - 83 kg,"5'11"" - 180 cm","RW, LW",Left,28 - Round 1 - 2015 (NYI),,,,60,5.0,12.0,17.0,0.28,-8.0,105.0,0.05,13:34,11.17,104.0,198.0,161.0,0.82,7.66,14.58,11.85,393.0,412.0,48.82,798.0,839.0,48.75,571.0,588.0,49.27,40.39,36.63,52.44,,,,,,,,,NYI,Standard (1-way),,"Sep. 1, 2021",24,✔,,,3,RFA,UFA,2024,"$4,150,000",5.1%,"$4,150,000","$4,150,000","$4,150,000","$4,150,000",$0,$0
1,252. John Klingberg,TOR,30,"Aug. 14, 1992",Sweden,185 lbs - 84 kg,"6'3"" - 191 cm",RD,Right,131 - Round 5 - 2010 (DAL),,,,14,0.0,5.0,5.0,0.36,-7.0,14.0,0.0,20:33,0.75,14.0,52.0,25.0,0.16,2.92,10.84,5.21,174.0,124.0,58.39,361.0,242.0,59.87,253.0,178.0,58.7,19.93,17.01,53.95,,,,,,,,,TOR,Standard (1-way),,"Jul. 1, 2023",30,,,M-NTC,1,UFA,UFA,2024,"$4,150,000",5.0%,"$4,150,000","$4,150,000","$2,150,000","$4,150,000","$2,000,000",$0
2,253. Michael Anderson,LAK,24,"May 25, 1999",United States,194 lbs - 88 kg,"5'11"" - 180 cm",LD,Left,103 - Round 4 - 2017 (LAK),,,,74,2.0,16.0,18.0,0.24,22.0,89.0,0.02,20:37,4.53,88.0,204.0,131.0,0.18,3.5,8.11,5.21,685.0,730.0,48.41,1375.0,1529.0,47.35,986.0,1076.0,47.82,64.73,78.51,45.19,,,,,,,,,LAK,Standard (1-way),✔,"Feb. 15, 2023",24,✔,,,8,RFA,UFA,2031,"$4,125,000",5.0%,"$4,125,000","$3,600,000","$1,600,000","$3,600,000","$2,000,000",$0
3,254. Shayne Gostisbehere,DET,30,"Apr. 20, 1993",United States,180 lbs - 82 kg,"5'11"" - 180 cm",LD/RD,Left,78 - Round 3 - 2012 (PHI),,,,81,10.0,46.0,56.0,0.69,-16.0,139.0,0.07,19:05,8.99,139.0,307.0,202.0,0.35,5.39,11.91,7.84,845.0,689.0,55.08,1684.0,1307.0,56.3,1203.0,983.0,55.03,98.16,72.47,57.53,,,,,,,,,DET,Standard (1-way),,"Jul. 1, 2023",30,,,M-NTC,1,UFA,UFA,2024,"$4,125,000",4.9%,"$4,125,000","$4,125,000","$4,125,000","$4,125,000",$0,$0
4,255. Brandon Carlo,BOS,26,"Nov. 26, 1996",United States,212 lbs - 96 kg,"6'5"" - 196 cm",RD,Right,37 - Round 2 - 2015 (BOS),,,,76,4.0,10.0,14.0,0.18,23.0,79.0,0.05,19:54,2.57,79.0,174.0,121.0,0.1,3.13,6.9,4.8,580.0,894.0,39.35,1071.0,1754.0,37.9,803.0,1302.0,38.15,58.7,94.49,38.32,,,,,,,,,BOS,Standard (1-way),✔,"Jul. 14, 2021",24,✔,✔,M-NTC,6,RFA,UFA,2027,"$4,100,000",5.0%,"$4,100,000","$5,700,000","$4,700,000","$5,700,000","$1,000,000",$0
5,256. Devon Toews,COL,29,"Feb. 21, 1994",Canada,191 lbs - 87 kg,"6'1"" - 185 cm",LD,Left,108 - Round 4 - 2014 (NYI),,,,82,12.0,38.0,50.0,0.61,28.0,159.0,0.08,23:25,8.14,160.0,349.0,219.0,0.26,5.05,11.02,6.91,968.0,1005.0,49.06,1933.0,1917.0,50.21,1382.0,1404.0,49.61,104.99,110.95,48.62,,,,,,,,,COL,Standard (1-way),,"Oct. 27, 2020",26,✔,✔,,4,RFA,UFA,2024,"$4,100,000",5.0%,"$4,100,000","$5,900,000","$5,900,000","$5,900,000",$0,$0
6,257. Nick Jensen,WSH,32,"Sep. 21, 1990",United States,196 lbs - 89 kg,"6'1"" - 185 cm",RD,Right,150 - Round 5 - 2009 (DET),,,,78,1.0,13.0,14.0,0.18,-9.0,71.0,0.01,19:37,3.45,71.0,198.0,119.0,0.14,2.78,7.76,4.66,546.0,922.0,37.19,1131.0,1860.0,37.81,809.0,1331.0,37.79,58.53,102.42,36.36,,,,,,,,,WSH,Standard (1-way),✔,"Feb. 28, 2023",32,,,,3,UFA,UFA,2026,"$4,050,000",4.9%,"$4,050,000","$5,000,000","$3,000,000","$5,000,000","$2,000,000",$0
7,258. Marcus Pettersson,PIT,27,"May 8, 1996",Sweden,177 lbs - 80 kg,"6'3"" - 191 cm",LD,Left,38 - Round 2 - 2014 (ANA),,,,82,4.0,26.0,30.0,0.37,28.0,106.0,0.04,22:40,4.28,106.0,267.0,176.0,0.14,3.42,8.61,5.68,944.0,977.0,49.14,1835.0,2052.0,47.21,1337.0,1492.0,47.26,98.95,107.51,47.93,,,,,,,,,PIT,Standard (1-way),✔,"Jan. 28, 2020",24,✔,,M-NTC,5,RFA,UFA,2025,"$4,025,175",4.9%,"$4,025,175","$4,025,175","$4,025,175","$4,025,175",$0,$0
