,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
18,69. Cam Fowler,ANA,33,"Dec. 5, 1991",Canada,214 lbs - 97 kg,"6'2"" - 188 cm",LD/RD,Left,12 - Round 1 - 2010 (ANA),,,,ANA,Standard (1-way),✔,"Jul. 1, 2017",26,,,M-NTC,8,UFA,UFA,2026,"$6,500,000 ",8.70%,"$6,500,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ",$0 ,$0 
19,70. Brayden Schenn,STL,33,"Aug. 22, 1991",Canada,200 lbs - 91 kg,"6'1"" - 185 cm","C, LW",Left,5 - Round 1 - 2009 (LAK),,,,STL,Standard (1-way),✔,"Oct. 4, 2019",28,,,M-NTC,8,UFA,UFA,2028,"$6,500,000 ",8.00%,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
20,71. Colton Parayko,STL,32,12-May-93,Canada,230 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,86 - Round 3 - 2012 (STL),,,,STL,Standard (1-way),✔,"Sep. 1, 2021",29,,,NTC,8,UFA,UFA,2030,"$6,500,000 ",8.00%,"$6,500,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
21,72. Justin Faulk,STL,33,"Mar. 20, 1992",United States,217 lbs - 98 kg,"6'0"" - 183 cm",RD,Right,37 - Round 2 - 2010 (CAR),,,,STL,Standard (1-way),✔,"Sep. 24, 2019",28,,,M-NTC,7,UFA,UFA,2027,"$6,500,000 ",8.00%,"$6,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",$0 ,$0 
22,73. Chris Kreider,NYR,34,"Apr. 30, 1991",United States,217 lbs - 98 kg,"6'3"" - 191 cm",LW,Left,19 - Round 1 - 2009 (NYR),,,,NYR,Standard (1-way),✔,"Feb. 24, 2020",29,,,"M-NTC, NMC",7,UFA,UFA,2027,"$6,500,000 ",8.00%,"$6,500,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
23,74. John Gibson,ANA,31,"Jul. 14, 1993",United States,215 lbs - 98 kg,"6'2"" - 188 cm",G,Left,39 - Round 2 - 2011 (ANA),,,,ANA,Standard (1-way),✔,"Aug. 4, 2018",25,✔,,M-NTC,8,RFA,UFA,2027,"$6,400,000 ",8.10%,"$6,400,000 ","$6,400,000 ","$6,400,000 ","$6,400,000 ",$0 ,$0 
24,75. Jaccob Slavin,CAR,31,1-May-94,United States,207 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,120 - Round 4 - 2012 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 1, 2024",31,,,NMC,8,UFA,UFA,2033,"$6,396,063 ",7.30%,"$6,396,063 ","$8,000,000 ","$1,000,000 ","$8,000,000 ","$7,000,000 ",$0 
25,76. Joshua Morrissey,WPG,30,"Mar. 28, 1995",Canada,195 lbs - 88 kg,"6'0"" - 183 cm",LD,Left,13 - Round 1 - 2013 (WPG),,,,WPG,Standard (1-way),✔,"Sep. 12, 2019",25,✔,,M-NTC,8,RFA,UFA,2028,"$6,250,000 ",7.70%,"$6,250,000 ","$4,800,000 ","$4,800,000 ","$4,800,000 ",$0 ,$0 
26,77. Alex Killorn,ANA,35,"Sep. 14, 1989",Canada,199 lbs - 90 kg,"6'1"" - 185 cm","RW, LW",Left,77 - Round 3 - 2007 (TBL),,,,ANA,Standard (1-way),,"Jul. 1, 2023",33,,,M-NTC,4,UFA,UFA,2027,"$6,250,000 ",7.50%,"$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ",$0 ,$0 
27,78. Mattias Ekholm,EDM,35,24-May-90,Sweden,215 lbs - 98 kg,"6'4"" - 193 cm",LD/RD,Left,102 - Round 4 - 2009 (NSH),,,,NSH,Standard (1-way),✔,"Oct. 13, 2021",32,,,,4,UFA,UFA,2026,"$6,250,000 ",7.70%,"$6,250,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
28,79. Damon Severson,CBJ,30,"Aug. 7, 1994",Canada,205 lbs - 93 kg,"6'2"" - 188 cm",RD,Right,60 - Round 2 - 2012 (NJD),,,,NJD,Standard (1-way),✔,"Jun. 9, 2023",28,,,NTC,8,UFA,UFA,2031,"$6,250,000 ",7.60%,"$6,250,000 ","$7,500,000 ","$5,500,000 ","$7,500,000 ","$2,000,000 ",$0 
29,80. Ryan Ellis,PHI,34,"Jan. 3, 1991",Canada,180 lbs - 82 kg,"5'10"" - 178 cm",RD,Right,11 - Round 1 - 2009 (NSH),,,,NSH,Standard (1-way),✔,"Aug. 14, 2018",28,,,,8,UFA,UFA,2027,"$6,250,000 ",7.90%,"$6,250,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",$0 ,$0 
30,81. Kris Letang,PIT,38,"Apr. 24, 1987",Canada,201 lbs - 91 kg,"6'0"" - 183 cm",RD,Right,62 - Round 3 - 2005 (PIT),,,,PIT,35+ (1-way),✔,"Jul. 7, 2022",35,,,NMC,6,UFA,UFA,2028,"$6,100,000 ",7.40%,"$6,100,000 ","$4,800,000 ","$4,800,000 ","$4,800,000 ",$0 ,$0 
31,82. Evgeni Malkin,PIT,38,"Jul. 31, 1986",Russia,195 lbs - 88 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2004 (PIT),,,,PIT,35+ (1-way),✔,"Jul. 12, 2022",35,,,NMC,4,UFA,UFA,2026,"$6,100,000 ",7.40%,"$6,100,000 ","$4,800,000 ","$1,000,000 ","$4,800,000 ","$3,800,000 ",$0 
32,83. Jacob Markström,NJD,35,"Jan. 31, 1990",Sweden,206 lbs - 93 kg,"6'6"" - 198 cm",G,Left,31 - Round 2 - 2008 (FLA),,,,CGY,Standard (1-way),,"Oct. 9, 2020",30,,,NMC,6,UFA,UFA,2026,"$6,000,000 ",7.40%,"$6,000,000 ","$6,000,000 ","$3,500,000 ","$6,000,000 ","$2,500,000 ",$0 
33,84. Jonas Brodin,MIN,31,"Jul. 12, 1993",Sweden,194 lbs - 88 kg,"6'1"" - 185 cm",LD,Left,10 - Round 1 - 2011 (MIN),,,,MIN,Standard (1-way),✔,"Sep. 15, 2020",27,,,,7,UFA,UFA,2028,"$6,000,000 ",7.40%,"$6,000,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
34,85. Ondrej Palat,NJD,34,"Mar. 28, 1991",Czech Republic,194 lbs - 88 kg,"5'11"" - 180 cm","LW, RW",Left,208 - Round 7 - 2011 (TBL),,,,NJD,Standard (1-way),,"Jul. 14, 2022",31,,,"M-NTC, NMC",5,UFA,UFA,2027,"$6,000,000 ",7.30%,"$6,000,000 ","$4,950,000 ","$3,950,000 ","$4,950,000 ","$1,000,000 ",$0 
35,86. Tyler Toffoli,SJS,33,"Apr. 24, 1992",Canada,197 lbs - 89 kg,"6'0"" - 183 cm","RW, LW",Right,47 - Round 2 - 2010 (LAK),,,,SJS,Standard (1-way),,"Jul. 1, 2024",32,,,NMC,4,UFA,UFA,2028,"$6,000,000 ",6.80%,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
36,87. William Karlsson,VGK,32,"Jan. 8, 1993",Sweden,195 lbs - 88 kg,"6'0"" - 183 cm",C,Left,53 - Round 2 - 2011 (ANA),,,,VGK,Standard (1-way),✔,"Jun. 24, 2019",26,✔,,M-NTC,8,RFA,UFA,2027,"$5,900,000 ",7.20%,"$5,900,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ",$0 ,$0 
37,88. Philipp Grubauer,SEA,33,"Nov. 25, 1991",Germany,188 lbs - 85 kg,"6'1"" - 185 cm",G,Left,112 - Round 4 - 2010 (WSH),,,,SEA,Standard (1-way),,"Jul. 28, 2021",29,,,M-NTC,6,UFA,UFA,2027,"$5,900,000 ",7.20%,"$5,900,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ",$0 ,$0 
38,89. Nick Schmaltz,UTA,29,"Feb. 23, 1996",United States,177 lbs - 80 kg,"6'0"" - 183 cm","RW, C",Right,20 - Round 1 - 2014 (CHI),,,,ARI,Standard (1-way),✔,"Mar. 30, 2019",23,,,M-NTC,7,RFA,UFA,2026,"$5,850,000 ",7.40%,"$5,850,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ",$0 ,$0 
39,90. Gustav Forsling,FLA,29,"Jun. 12, 1996",Sweden,186 lbs - 84 kg,"6'0"" - 183 cm",LD,Left,126 - Round 5 - 2014 (VAN),,,,FLA,Standard (1-way),✔,"Mar. 7, 2024",28,,,NMC,8,UFA,UFA,2032,"$5,750,000 ",6.90%,"$5,750,000 ","$6,525,000 ","$1,000,000 ","$6,525,000 ","$5,525,000 ",$0 
40,91. Adam Pelech,NYI,30,"Aug. 16, 1994",Canada,218 lbs - 99 kg,"6'3"" - 191 cm",LD,Left,65 - Round 3 - 2012 (NYI),,,,NYI,Standard (1-way),,"Aug. 6, 2021",26,✔,✔,M-NTC,8,RFA,UFA,2029,"$5,750,000 ",7.10%,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",$0 ,$0 
41,92. Vincent Trocheck,NYR,31,"Jul. 11, 1993",United States,183 lbs - 83 kg,"5'10"" - 178 cm","C, RW",Right,64 - Round 3 - 2011 (FLA),,,,NYR,Standard (1-way),,"Jul. 13, 2022",28,,,M-NTC,7,UFA,UFA,2029,"$5,625,000 ",6.80%,"$5,625,000 ","$6,000,000 ","$3,000,000 ","$6,000,000 ","$3,000,000 ",$0 
42,93. Andrew Copp,DET,30,"Jul. 8, 1994",United States,206 lbs - 93 kg,"6'1"" - 185 cm","C, LW, RW",Left,104 - Round 4 - 2013 (WPG),,,,DET,Standard (1-way),,"Jul. 13, 2022",27,,,M-NTC,5,UFA,UFA,2027,"$5,625,000 ",6.80%,"$5,625,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",$0 ,$0 
43,94. Jaden Schwartz,SEA,33,"Jun. 25, 1992",Canada,190 lbs - 86 kg,"5'10"" - 178 cm",LW,Left,14 - Round 1 - 2010 (STL),,,,SEA,Standard (1-way),,"Jul. 28, 2021",29,,,M-NTC,5,UFA,UFA,2026,"$5,500,000 ",6.70%,"$5,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",$0 ,$0 
44,95. André Burakovsky,SEA,30,"Feb. 9, 1995",Austria,201 lbs - 91 kg,"6'3"" - 191 cm","RW, LW",Left,23 - Round 1 - 2013 (WSH),,,,SEA,Standard (1-way),,"Jul. 13, 2022",27,,,M-NTC,5,UFA,UFA,2027,"$5,500,000 ",6.70%,"$5,500,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
45,96. Tyler Bertuzzi,CHI,30,"Feb. 24, 1995",Canada,200 lbs - 91 kg,"6'2"" - 188 cm","LW, RW",Left,58 - Round 2 - 2013 (DET),,,,CHI,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,4,UFA,UFA,2028,"$5,500,000 ",6.30%,"$5,500,000 ","$6,000,000 ","$3,000,000 ","$6,000,000 ","$3,000,000 ",$0 
46,97. Jonathan Marchessault,NSH,34,"Dec. 27, 1990",Canada,180 lbs - 82 kg,"5'9"" - 175 cm","RW, LW",Right,,,,,NSH,Standard (1-way),,"Jul. 1, 2024",33,,,,5,UFA,UFA,2029,"$5,500,000 ",6.30%,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",$0 ,$0 
47,98. Phillip Danault,LAK,32,"Feb. 24, 1993",Canada,201 lbs - 91 kg,"6'1"" - 185 cm",C,Left,26 - Round 1 - 2011 (CHI),,,,LAK,Standard (1-way),,"Jul. 28, 2021",28,,,M-NTC,6,UFA,UFA,2027,"$5,500,000 ",6.70%,"$5,500,000 ","$5,750,000 ","$4,750,000 ","$5,750,000 ","$1,000,000 ",$0 
48,99. Zach Hyman,EDM,33,"Jun. 9, 1992",Canada,211 lbs - 96 kg,"6'1"" - 185 cm","RW, LW",Right,123 - Round 5 - 2010 (FLA),,,,EDM,Standard (1-way),,"Jul. 28, 2021",29,,,NMC,7,UFA,UFA,2028,"$5,500,000 ",6.70%,"$5,500,000 ","$6,425,000 ","$5,425,000 ","$6,425,000 ","$1,000,000 ",$0 
49,100. Sean Monahan,CBJ,30,"Oct. 12, 1994",Canada,202 lbs - 92 kg,"6'2"" - 188 cm","C, LW, RW",Left,6 - Round 1 - 2013 (CGY),,,,CBJ,Standard (1-way),,"Jul. 1, 2024",29,,,NMC,5,UFA,UFA,2029,"$5,500,000 ",6.30%,"$5,500,000 ","$5,400,000 ","$3,900,000 ","$5,400,000 ","$1,500,000 ",$0 
0,101. Sean Monahan,CBJ,30,"Oct. 12, 1994",Canada,202 lbs - 92 kg,"6'2"" - 188 cm","C, LW, RW",Left,6 - Round 1 - 2013 (CGY),,,,CBJ,Standard (1-way),,"Jul. 1, 2024",29,,,NMC,5,UFA,UFA,2029,"$5,500,000 ",6.30%,"$5,500,000 ","$5,400,000 ","$3,900,000 ","$5,400,000 ","$1,500,000 ",$0 
1,102. Josh Anderson,MTL,31,7-May-94,Canada,227 lbs - 103 kg,"6'3"" - 191 cm","RW, LW",Right,95 - Round 4 - 2012 (CBJ),,,,MTL,Standard (1-way),✔,"Oct. 8, 2020",26,✔,,M-NTC,7,RFA,UFA,2027,"$5,500,000 ",6.70%,"$5,500,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
2,103. Brett Pesce,NJD,30,"Nov. 15, 1994",United States,206 lbs - 93 kg,"6'3"" - 191 cm",RD,Right,66 - Round 3 - 2013 (CAR),,,,NJD,Standard (1-way),,"Jul. 1, 2024",29,,,NTC,6,UFA,UFA,2030,"$5,500,000 ",6.30%,"$5,500,000 ","$6,000,000 ","$2,000,000 ","$6,000,000 ","$4,000,000 ",$0 
3,104. Teuvo Teräväinen,CHI,30,"Sep. 11, 1994",Finland,191 lbs - 87 kg,"5'11"" - 180 cm","LW, RW",Left,18 - Round 1 - 2012 (CHI),,,,CHI,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,3,UFA,UFA,2027,"$5,400,000 ",6.10%,"$5,400,000 ","$5,500,000 ","$2,000,000 ","$5,500,000 ","$3,500,000 ",$0 
4,105. Oliver Bjorkstrand,SEA,30,"Apr. 10, 1995",Denmark,177 lbs - 80 kg,"6'0"" - 183 cm","RW, LW",Right,89 - Round 3 - 2013 (CBJ),,,,CBJ,Standard (1-way),✔,"Jan. 6, 2021",26,✔,,M-NTC,5,RFA,UFA,2026,"$5,400,000 ",6.60%,"$5,400,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
5,106. Charlie Coyle,BOS,33,"Mar. 2, 1992",United States,220 lbs - 100 kg,"6'3"" - 191 cm","C, RW",Right,28 - Round 1 - 2010 (SJS),,,,BOS,Standard (1-way),✔,"Nov. 27, 2019",28,,,"M-NTC, NMC",6,UFA,UFA,2026,"$5,250,000 ",6.40%,"$5,250,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",$0 ,$0 
6,107. Darcy Kuemper,LAK,35,5-May-90,Canada,215 lbs - 98 kg,"6'5"" - 196 cm",G,Left,161 - Round 6 - 2009 (MIN),,,,WSH,Standard (1-way),,"Jul. 13, 2022",32,,,M-NTC,5,UFA,UFA,2027,"$5,250,000 ",6.40%,"$5,250,000 ","$4,500,000 ","$2,500,000 ","$4,500,000 ","$2,000,000 ",$0 
7,108. Joel Eriksson Ek,MIN,28,"Jan. 29, 1997",Sweden,210 lbs - 95 kg,"6'1"" - 185 cm",C,Left,20 - Round 1 - 2015 (MIN),,,,MIN,Standard (1-way),✔,"Jul. 2, 2021",24,✔,,"M-NTC, NMC",8,RFA,UFA,2029,"$5,250,000 ",6.40%,"$5,250,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
8,109. Evander Kane,EDM,33,"Aug. 2, 1991",Canada,210 lbs - 95 kg,"6'2"" - 188 cm","LW, RW",Left,4 - Round 1 - 2009 (ATL),,,,EDM,Standard (1-way),✔,"Jul. 12, 2022",30,,,M-NTC,4,UFA,UFA,2026,"$5,125,000 ",6.20%,"$5,125,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",$0 ,$0 
9,110. Bryan Rust,PIT,33,11-May-92,United States,192 lbs - 87 kg,"5'11"" - 180 cm","RW, LW",Right,80 - Round 3 - 2010 (PIT),,,,PIT,Standard (1-way),✔,21-May-22,30,,,,6,UFA,UFA,2028,"$5,125,000 ",6.20%,"$5,125,000 ","$5,130,000 ","$5,130,000 ","$5,130,000 ",$0 ,$0 
10,111. Ryan Nugent-Hopkins,EDM,32,"Apr. 12, 1993",Canada,184 lbs - 83 kg,"6'0"" - 183 cm","LW, C",Left,1 - Round 1 - 2011 (EDM),,,,EDM,Standard (1-way),✔,"Jun. 29, 2021",28,,,NMC,8,UFA,UFA,2029,"$5,125,000 ",6.30%,"$5,125,000 ","$6,000,000 ","$4,000,000 ","$6,000,000 ","$2,000,000 ",$0 
11,112. J.T. Compher,DET,30,"Apr. 8, 1995",United States,190 lbs - 86 kg,"6'0"" - 183 cm","C, RW",Right,35 - Round 2 - 2013 (BUF),,,,DET,Standard (1-way),,"Jul. 1, 2023",28,,,M-NTC,5,UFA,UFA,2028,"$5,100,000 ",6.10%,"$5,100,000 ","$5,100,000 ","$5,100,000 ","$5,100,000 ",$0 ,$0 
12,113. Rasmus Ristolainen,PHI,30,"Oct. 27, 1994",Finland,220 lbs - 100 kg,"6'4"" - 193 cm",RD,Right,8 - Round 1 - 2013 (BUF),,,,PHI,Standard (1-way),✔,"Mar. 10, 2022",27,,,,5,UFA,UFA,2027,"$5,100,000 ",6.30%,"$5,100,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",$0 ,$0 
13,114. Jared McCann,SEA,29,31-May-96,Canada,185 lbs - 84 kg,"6'1"" - 185 cm","C, LW",Left,24 - Round 1 - 2014 (VAN),,,,SEA,Standard (1-way),✔,"Mar. 8, 2022",26,✔,,M-NTC,5,RFA,UFA,2027,"$5,000,000 ",6.10%,"$5,000,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",$0 ,$0 
14,115. Nikita Zadorov,BOS,30,"Apr. 16, 1995",Russia,235 lbs - 107 kg,"6'6"" - 198 cm",LD/RD,Left,16 - Round 1 - 2013 (BUF),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,NTC,6,UFA,UFA,2030,"$5,000,000 ",5.70%,"$5,000,000 ","$5,150,000 ","$3,150,000 ","$5,150,000 ","$2,000,000 ",$0 
15,116. Jean-Gabriel Pageau,NYI,32,"Nov. 11, 1992",Canada,180 lbs - 82 kg,"5'10"" - 178 cm",C,Right,96 - Round 4 - 2011 (OTT),,,,NYI,Standard (1-way),✔,"Feb. 24, 2020",27,,,M-NTC,6,UFA,UFA,2026,"$5,000,000 ",6.10%,"$5,000,000 ","$3,500,000 ","$3,500,000 ","$3,500,000 ",$0 ,$0 
16,117. Alexander Wennberg,SJS,30,"Sep. 22, 1994",Sweden,197 lbs - 89 kg,"6'2"" - 188 cm",C,Left,14 - Round 1 - 2013 (CBJ),,,,SJS,Standard (1-way),,"Jul. 1, 2024",29,,,,2,UFA,UFA,2026,"$5,000,000 ",5.70%,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
17,118. Rickard Rakell,PIT,32,5-May-93,Sweden,196 lbs - 89 kg,"6'0"" - 183 cm","RW, LW",Right,30 - Round 1 - 2011 (ANA),,,,PIT,Standard (1-way),✔,"Jul. 11, 2022",29,,,M-NTC,6,UFA,UFA,2028,"$5,000,000 ",6.10%,"$5,000,000 ","$4,800,000 ","$4,800,000 ","$4,800,000 ",$0 ,$0 
18,119. Dylan Strome,WSH,28,"Mar. 7, 1997",Canada,200 lbs - 91 kg,"6'3"" - 191 cm",C,Left,3 - Round 1 - 2015 (ARI),,,,WSH,Standard (1-way),✔,"Feb. 3, 2023",26,✔,,,5,RFA,UFA,2028,"$5,000,000 ",6.10%,"$5,000,000 ","$4,500,000 ","$2,500,000 ","$4,500,000 ","$2,000,000 ",$0 
19,120. Ryan Strome,ANA,31,"Jul. 11, 1993",Canada,196 lbs - 89 kg,"6'1"" - 185 cm","RW, C",Right,5 - Round 1 - 2011 (NYI),,,,ANA,Standard (1-way),,"Jul. 13, 2022",28,,,,5,UFA,UFA,2027,"$5,000,000 ",6.10%,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
20,121. Ivan Barbashev,VGK,29,"Dec. 14, 1995",Russia,187 lbs - 85 kg,"6'0"" - 183 cm","LW, RW",Left,33 - Round 2 - 2014 (STL),,,,VGK,Standard (1-way),✔,"Jun. 28, 2023",27,,,M-NTC,5,UFA,UFA,2028,"$5,000,000 ",6.00%,"$5,000,000 ","$4,200,000 ","$4,200,000 ","$4,200,000 ",$0 ,$0 
21,122. Dylan DeMelo,WPG,32,1-May-93,Canada,191 lbs - 87 kg,"6'0"" - 183 cm",RD,Right,179 - Round 6 - 2011 (SJS),,,,WPG,Standard (1-way),✔,"Jun. 25, 2024",31,,,,4,UFA,UFA,2028,"$4,900,000 ",5.60%,"$4,900,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
22,123. Blake Coleman,CGY,33,"Nov. 28, 1991",United States,207 lbs - 94 kg,"5'11"" - 180 cm","RW, LW",Left,75 - Round 3 - 2011 (NJD),,,,CGY,Standard (1-way),,"Jul. 28, 2021",29,,,M-NTC,6,UFA,UFA,2027,"$4,900,000 ",6.00%,"$4,900,000 ","$4,900,000 ","$4,900,000 ","$4,900,000 ",$0 ,$0 
23,124. Michael Matheson,MTL,31,"Feb. 27, 1994",Canada,196 lbs - 89 kg,"6'2"" - 188 cm",LD,Left,23 - Round 1 - 2012 (FLA),,,,FLA,Standard (1-way),✔,"Oct. 7, 2017",24,✔,,M-NTC,8,RFA,UFA,2026,"$4,875,000 ",6.50%,"$4,875,000 ","$6,500,000 ","$4,500,000 ","$6,500,000 ","$2,000,000 ",$0 
24,125. Alex Tuch,BUF,29,10-May-96,United States,220 lbs - 100 kg,"6'4"" - 193 cm","RW, LW",Right,18 - Round 1 - 2014 (MIN),,,,VGK,Standard (1-way),✔,"Oct. 19, 2018",23,,,M-NTC,7,RFA,UFA,2026,"$4,750,000 ",6.00%,"$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ",$0 ,$0 
25,126. Pavel Zacha,BOS,28,"Apr. 6, 1997",Czech Republic,210 lbs - 95 kg,"6'3"" - 191 cm","C, LW",Left,6 - Round 1 - 2015 (NJD),,,,BOS,Standard (1-way),✔,"Jan. 14, 2023",26,,,M-NTC,4,UFA,UFA,2027,"$4,750,000 ",5.80%,"$4,750,000 ","$4,750,000 ","$3,750,000 ","$4,750,000 ","$1,000,000 ",$0 
26,127. Vladimir Tarasenko,DET,33,"Dec. 13, 1991",Russia,225 lbs - 102 kg,"6'0"" - 183 cm",RW,Left,16 - Round 1 - 2010 (STL),,,,DET,Standard (1-way),,"Jul. 3, 2024",32,,,,2,UFA,UFA,2026,"$4,750,000 ",5.40%,"$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ",$0 ,$0 
27,128. Ben Chiarot,DET,34,9-May-91,Canada,234 lbs - 106 kg,"6'3"" - 191 cm",LD/RD,Left,120 - Round 4 - 2009 (ATL),,,,DET,Standard (1-way),,"Jul. 13, 2022",31,,,M-NTC,4,UFA,UFA,2026,"$4,750,000 ",5.80%,"$4,750,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",$0 ,$0 
28,129. Jordan Eberle,SEA,35,15-May-90,Canada,187 lbs - 85 kg,"5'11"" - 180 cm",RW,Right,22 - Round 1 - 2008 (EDM),,,,SEA,Standard (1-way),✔,"Mar. 8, 2024",34,,,NTC,2,UFA,UFA,2026,"$4,750,000 ",5.70%,"$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ",$0 ,$0 
29,130. Jamie Oleksiak,SEA,32,"Dec. 21, 1992",Canada,255 lbs - 116 kg,"6'7"" - 201 cm",LD/RD,Left,14 - Round 1 - 2011 (DAL),,,,SEA,Standard (1-way),✔,"Jul. 21, 2021",28,,,M-NTC,5,UFA,UFA,2026,"$4,600,000 ",5.60%,"$4,600,000 ","$3,750,000 ","$3,750,000 ","$3,750,000 ",$0 ,$0 
30,131. Josh Manson,COL,33,"Oct. 7, 1991",United States,218 lbs - 99 kg,"6'3"" - 191 cm",RD,Right,160 - Round 6 - 2011 (ANA),,,,COL,Standard (1-way),,"Jul. 13, 2022",30,,,M-NTC,4,UFA,UFA,2026,"$4,500,000 ",5.50%,"$4,500,000 ","$3,500,000 ","$2,500,000 ","$3,500,000 ","$1,000,000 ",$0 
31,132. Brandon Saad,STL,32,"Oct. 27, 1992",United States,206 lbs - 93 kg,"6'1"" - 185 cm","LW, RW",Left,43 - Round 2 - 2011 (CHI),,,,STL,Standard (1-way),,"Jul. 29, 2021",28,,,M-NTC,5,UFA,UFA,2026,"$4,500,000 ",5.50%,"$4,500,000 ","$3,625,000 ","$3,625,000 ","$3,625,000 ",$0 ,$0 
32,133. Mikael Backlund,CGY,36,"Mar. 17, 1989",Sweden,200 lbs - 91 kg,"6'0"" - 183 cm",C,Left,24 - Round 1 - 2007 (CGY),,,,CGY,35+ (1-way),✔,"Sep. 27, 2023",35,,,"M-NTC, NMC",2,UFA,UFA,2026,"$4,500,000 ",5.40%,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",$0 ,$0 
33,134. Ryan O'Reilly,NSH,34,"Feb. 7, 1991",Canada,216 lbs - 98 kg,"6'1"" - 185 cm",C,Left,33 - Round 2 - 2009 (COL),,,,NSH,Standard (1-way),,"Jul. 1, 2023",32,,,,4,UFA,UFA,2027,"$4,500,000 ",5.40%,"$4,500,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",$0 ,$0 
34,135. Artturi Lehkonen,COL,29,"Jul. 4, 1995",Finland,180 lbs - 82 kg,"6'0"" - 183 cm","LW, RW",Left,55 - Round 2 - 2013 (MTL),,,,COL,Standard (1-way),,"Jul. 13, 2022",26,✔,,M-NTC,5,RFA,UFA,2027,"$4,500,000 ",5.50%,"$4,500,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",$0 ,$0 
35,136. Nick Foligno,CHI,37,"Oct. 31, 1987",United States,208 lbs - 94 kg,"6'0"" - 183 cm","LW, C, RW",Left,28 - Round 1 - 2006 (OTT),,,,CHI,35+ (1-way),✔,"Jan. 12, 2024",36,,,,2,UFA,UFA,2026,"$4,500,000 ",5.40%,"$4,500,000 ","$3,900,000 ","$1,400,000 ","$3,900,000 ","$2,500,000 ",$0 
36,137. Christopher Tanev,TOR,35,"Dec. 20, 1989",Canada,197 lbs - 89 kg,"6'2"" - 188 cm",RD,Right,,,,,TOR,Standard (1-way),,"Jul. 1, 2024",34,,,NMC,6,UFA,UFA,2030,"$4,500,000 ",5.10%,"$4,500,000 ","$5,600,000 ","$1,000,000 ","$5,600,000 ","$4,600,000 ",$0 
