,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
118,18,Valeri Nichushkin,COL,28,"Mar. 4, 1995",Russia,210 lbs - 95 kg,"6'4"" - 193 cm","RW, LW",Left,10 - Round 1 - 2013 (DAL),,,,54,28,25,53,0.98,5,158,0.18,21:21,25.24,152,263,221,1.34,8.05,13.92,11.7,690,537,56.23,1390,1001,58.13,1010,761,57.03,82.26,60.34,57.69,,,,,,,,,COL,Standard (1-way),Yes,"Jul. 11, 2022",27,,,NMC,8,UFA,UFA,2030,"$6,125,000 ",7.40%,"$6,125,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
119,19,Brad Marchand,BOS,35,11-May-88,Canada,181 lbs - 82 kg,"5'9"" - 175 cm",LW,Left,71 - Round 3 - 2006 (BOS),,,,82,29,38,67,0.82,2,207,0.14,19:06,27.76,208,390,295,1.06,7.97,14.94,11.3,861,762,53.05,1708,1457,53.97,1228,1084,53.11,105.9,84.77,55.54,,,,,,,,,BOS,Standard (1-way),Yes,"Sep. 26, 2016",29,,,M-NTC,8,UFA,UFA,2025,"$6,125,000 ",8.40%,"$6,125,000 ","$5,000,000 ","$3,000,000 ","$5,000,000 ","$2,000,000 ",$0 
120,20,Mark Scheifele,WPG,30,"Mar. 15, 1993",Canada,207 lbs - 94 kg,"6'3"" - 191 cm",C,Right,7 - Round 1 - 2011 (WPG),,,,74,25,47,72,0.97,19,154,0.16,20:11,24.84,154,270,219,1,6.19,10.85,8.8,854,731,53.88,1679,1399,54.55,1225,1057,53.68,105.6,79.34,57.1,,,,,,,,,WPG,Standard (1-way),,"Jul. 8, 2016",23,,,NMC,8,RFA,UFA,2024,"$6,125,000 ",8.40%,"$6,125,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
121,21,Kris Letang,PIT,36,"Apr. 24, 1987",Canada,201 lbs - 91 kg,"6'0"" - 183 cm",RD,Right,62 - Round 3 - 2005 (PIT),,,,82,10,41,51,0.62,13,164,0.06,24:41:00,7.51,164,416,239,0.22,4.86,12.33,7.08,1079,1073,50.14,2151,2166,49.83,1544,1589,49.28,120.62,124.27,49.25,,,,,,,,,PIT,35+ (1-way),Yes,"Jul. 7, 2022",35,,,NMC,6,UFA,UFA,2028,"$6,100,000 ",7.40%,"$6,100,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
122,22,Evgeni Malkin,PIT,36,"Jul. 31, 1986",Russia,195 lbs - 88 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2004 (PIT),,,,82,27,40,67,0.82,5,199,0.14,18:35,25.59,199,401,280,1.01,7.84,15.79,11.02,940,640,59.49,1938,1277,60.28,1352,967,58.3,118.62,76.17,60.9,,,,,,,,,PIT,35+ (1-way),Yes,"Jul. 12, 2022",35,,,NMC,4,UFA,UFA,2026,"$6,100,000 ",7.40%,"$6,100,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
123,23,Mats Zuccarello,MIN,35,"Sep. 1, 1987",Norway,178 lbs - 81 kg,"5'8"" - 173 cm","RW, LW",Left,,,,,69,12,51,63,0.91,-5,173,0.07,18:53,17.01,171,329,242,0.8,8.02,15.42,11.35,825,509,61.84,1681,1016,62.33,1210,717,62.79,105.28,48.09,68.64,,,,,,,,,MIN,Standard (1-way),,"Jul. 1, 2019",31,,,"M-NTC, NMC",5,UFA,UFA,2024,"$6,000,000 ",7.40%,"$6,000,000 ","$5,000,000 ","$3,000,000 ","$5,000,000 ","$2,000,000 ",$0 
124,24,Jordan Binnington,STL,29,"Jul. 11, 1993",Canada,174 lbs - 79 kg,"6'1"" - 185 cm",G,Left,88 - Round 3 - 2011 (STL),,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,21,3,2.84,0.913,2.84,3.38,0.53,STL,Standard (1-way),Yes,"Mar. 11, 2021",27,,,NTC,6,UFA,UFA,2027,"$6,000,000 ",7.40%,"$6,000,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
125,25,Tyler Myers,VAN,33,"Feb. 1, 1990",United States,229 lbs - 104 kg,"6'8"" - 203 cm",RD,Right,12 - Round 1 - 2008 (BUF),,,,77,5,24,29,0.38,16,93,0.05,18:56,4.12,92,216,143,0.17,3.84,9.02,5.98,591,755,43.91,1210,1541,43.98,885,1103,44.52,66.48,80.56,45.21,,,,,,,,,VAN,Standard (1-way),,"Jul. 1, 2019",29,,,M-NTC,5,UFA,UFA,2024,"$6,000,000 ",7.40%,"$6,000,000 ","$6,000,000 ","$1,000,000 ","$6,000,000 ","$5,000,000 ",$0 
126,26,Rasmus Dahlin,BUF,23,"Apr. 13, 2000",Sweden,193 lbs - 88 kg,"6'3"" - 191 cm",LD/RD,Left,1 - Round 1 - 2018 (BUF),,,Yes,81,20,39,59,0.73,-3,235,0.09,25:25:00,15.24,235,474,326,0.44,6.85,13.81,9.5,1268,876,59.14,2445,1794,57.68,1795,1308,57.85,131.3,109.19,54.6,,,,,,,,,BUF,Standard (1-way),,"Sep. 22, 2021",21,,,,3,RFA,RFA,2024,"$6,000,000 ",7.40%,"$6,000,000 ","$7,200,000 ","$7,200,000 ","$7,200,000 ",$0 ,$0 
127,27,Jacob Markström,CGY,33,"Jan. 31, 1990",Sweden,206 lbs - 93 kg,"6'6"" - 198 cm",G,Left,31 - Round 2 - 2008 (FLA),,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,2,2.78,0.905,2.78,3.39,0.61,CGY,Standard (1-way),,"Oct. 9, 2020",30,,,NMC,6,UFA,UFA,2026,"$6,000,000 ",7.40%,"$6,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
128,28,Jake Guentzel,CAR,28,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,67,30,47,77,1.15,25,238,0.13,20:00,41.59,238,440,339,1.86,10.65,19.68,15.16,965,624,60.73,1938,1151,62.74,1392,893,60.92,129.74,66.52,66.11,,,,,,,,,PIT,Standard (1-way),Yes,"Dec. 27, 2018",24,Yes,,M-NTC,5,RFA,UFA,2024,"$6,000,000 ",7.50%,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
129,29,Nikolaj Ehlers,WPG,27,"Feb. 14, 1996",Denmark,172 lbs - 78 kg,"6'0"" - 183 cm","RW, LW",Left,9 - Round 1 - 2014 (WPG),,,,82,25,36,61,0.74,27,233,0.11,15:52,21.31,231,489,339,1,10.8,22.87,15.85,776,549,58.57,1542,1076,58.9,1122,794,58.56,87.04,59.47,59.41,,,,,,,,,WPG,Standard (1-way),Yes,"Oct. 4, 2017",22,,,M-NTC,7,RFA,UFA,2025,"$6,000,000 ",8.00%,"$6,000,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
130,30,Brock Nelson,NYI,31,"Oct. 15, 1991",United States,212 lbs - 96 kg,"6'3"" - 191 cm","C, LW",Left,30 - Round 1 - 2010 (NYI),,,,82,34,35,69,0.84,-5,250,0.14,18:05,29.55,250,419,332,1.2,10.11,16.95,13.43,899,753,54.42,1741,1469,54.24,1252,1055,54.27,102.3,82.78,55.27,,,,,,,,,NYI,Standard (1-way),Yes,23-May-19,27,,,M-NTC,6,UFA,UFA,2025,"$6,000,000 ",7.50%,"$6,000,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ",$0 ,$0 
131,31,Ondrej Palat,NJD,32,"Mar. 28, 1991",Czech Republic,194 lbs - 88 kg,"5'11"" - 180 cm","LW, RW",Left,208 - Round 7 - 2011 (TBL),,,,71,11,20,31,0.44,-9,108,0.1,15:38,14.02,108,200,154,0.76,5.83,10.8,8.32,599,508,54.11,1243,996,55.52,876,731,54.51,67.08,56.94,54.09,,,,,,,,,NJD,Standard (1-way),,"Jul. 14, 2022",31,,,NMC,5,UFA,UFA,2027,"$6,000,000 ",7.30%,"$6,000,000 ","$6,900,000 ","$3,580,000 ","$6,900,000 ","$3,320,000 ",$0 
132,32,Jonas Brodin,MIN,29,"Jul. 12, 1993",Sweden,194 lbs - 88 kg,"6'1"" - 185 cm",LD,Left,10 - Round 1 - 2011 (MIN),,,,62,7,20,27,0.44,22,117,0.06,23:22,5.76,116,232,159,0.24,4.87,9.74,6.67,618,752,45.11,1277,1524,45.59,911,1086,45.62,62.11,76.66,44.76,,,,,,,,,MIN,Standard (1-way),Yes,"Sep. 15, 2020",27,,,NMC,7,UFA,UFA,2028,"$6,000,000 ",7.40%,"$6,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
133,33,Taylor Hall,CHI,31,"Nov. 14, 1991",Canada,205 lbs - 93 kg,"6'1"" - 185 cm",LW,Left,1 - Round 1 - 2010 (EDM),,,,10,2,2,4,0.4,-3,20,0.1,16:19,1.83,20,44,31,0.67,7.35,16.17,11.39,82,81,50.31,183,141,56.48,125,110,53.19,10.71,9.81,52.19,,,,,,,,,BOS,Standard (1-way),Yes,"Jul. 23, 2021",29,,,"M-NTC, NMC",4,UFA,UFA,2025,"$6,000,000 ",7.40%,"$6,000,000 ","$7,250,000 ","$6,250,000 ","$7,250,000 ","$1,000,000 ",$0 
134,34,Nate Schmidt,WPG,31,"Jul. 16, 1991",United States,194 lbs - 88 kg,"6'0"" - 183 cm",LD/RD,Left,,,,,63,2,12,14,0.22,10,75,0.03,16:48,3.37,73,166,110,0.19,4.21,9.58,6.35,503,413,54.91,1024,883,53.7,735,612,54.57,50.87,40.38,55.75,,,,,,,,,VGK,Standard (1-way),Yes,"Oct. 25, 2018",27,,,M-NTC,6,UFA,UFA,2025,"$5,950,000 ",7.50%,"$5,950,000 ","$4,950,000 ","$4,950,000 ","$4,950,000 ",$0 ,$0 
135,35,William Karlsson,VGK,30,"Jan. 8, 1993",Sweden,195 lbs - 88 kg,"6'0"" - 183 cm",C,Left,53 - Round 2 - 2011 (ANA),,,,70,30,30,60,0.86,15,175,0.17,17:36,23.26,172,296,234,1.14,8.49,14.61,11.55,699,581,54.61,1342,1234,52.1,977,856,53.3,76.2,66.3,53.48,,,,,,,,,VGK,Standard (1-way),Yes,"Jun. 24, 2019",26,Yes,,M-NTC,8,RFA,UFA,2027,"$5,900,000 ",7.20%,"$5,900,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ",$0 ,$0 
136,36,Philipp Grubauer,SEA,31,"Nov. 25, 1991",Germany,188 lbs - 85 kg,"6'1"" - 185 cm",G,Left,112 - Round 4 - 2010 (WSH),,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,2,2.86,0.899,2.85,2.84,-0.02,SEA,Standard (1-way),,"Jul. 28, 2021",29,,,NTC,6,UFA,UFA,2027,"$5,900,000 ",7.20%,"$5,900,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ",$0 ,$0 
137,37,Cam Atkinson,PHI,34,"Jun. 5, 1989",United States,175 lbs - 79 kg,"5'8"" - 173 cm","RW, LW",Right,157 - Round 6 - 2008 (CBJ),,,,70,13,15,28,0.4,-22,175,0.07,15:56,19.14,175,290,223,1.03,9.41,15.59,11.99,620,486,56.06,1210,1079,52.86,874,738,54.22,60.25,61.09,49.65,,,,,,,,,CBJ,Standard (1-way),Yes,"Nov. 16, 2017",29,,,M-NTC,7,UFA,UFA,2025,"$5,875,000 ",7.80%,"$5,875,000 ","$5,275,000 ","$5,275,000 ","$5,275,000 ",$0 ,$0 
138,38,Neal Pionk,WPG,27,"Jul. 29, 1995",United States,186 lbs - 84 kg,"6'0"" - 183 cm",RD,Right,,,,,82,5,28,33,0.4,9,146,0.03,20:49,6.74,146,306,212,0.24,5.19,10.89,7.54,778,885,46.78,1608,1730,48.17,1138,1263,47.4,83.86,100.25,45.55,,,,,,,,,WPG,Standard (1-way),,"Aug. 11, 2021",25,Yes,Yes,M-NTC,4,RFA,UFA,2025,"$5,875,000 ",7.20%,"$5,875,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
139,39,Vladislav Gavrikov,LAK,27,"Nov. 21, 1995",Russia,213 lbs - 97 kg,"6'3"" - 191 cm",LD,Left,159 - Round 6 - 2015 (CBJ),,,,77,6,17,23,0.3,9,114,0.05,20:37,5.13,112,216,144,0.2,4.28,8.26,5.51,810,817,49.78,1541,1686,47.75,1156,1188,49.32,76.28,84.54,47.43,,,,,,,,,LAK,Standard (1-way),Yes,"Jun. 7, 2023",27,,,NMC,2,UFA,UFA,2025,"$5,875,000 ",7.10%,"$5,875,000 ","$6,500,000 ","$775,000 ","$6,500,000 ","$5,725,000 ",$0 
140,40,Nick Schmaltz,UTA,27,"Feb. 23, 1996",United States,177 lbs - 80 kg,"6'0"" - 183 cm","RW, C",Right,20 - Round 1 - 2014 (CHI),,,,79,22,39,61,0.77,-16,158,0.14,19:10,20.85,158,339,246,0.83,6.26,13.43,9.74,801,635,55.78,1623,1220,57.09,1197,916,56.65,97.72,76.48,56.1,,,,,,,,,ARI,Standard (1-way),Yes,"Mar. 30, 2019",23,,,M-NTC,7,RFA,UFA,2026,"$5,850,000 ",7.40%,"$5,850,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
141,41,Adam Henrique,EDM,33,"Feb. 6, 1990",Canada,195 lbs - 88 kg,"6'0"" - 183 cm","LW, C",Left,82 - Round 3 - 2008 (NJD),,,,82,24,27,51,0.62,9,140,0.17,16:50,21.67,137,270,217,0.95,6.04,11.9,9.56,637,712,47.22,1269,1418,47.23,909,1045,46.52,68.81,85.4,44.62,,,,,,,,,ANA,Standard (1-way),Yes,"Jul. 16, 2018",29,,,M-NTC,5,UFA,UFA,2024,"$5,825,000 ",7.30%,"$5,825,000 ","$5,825,000 ","$5,825,000 ","$5,825,000 ",$0 ,$0 
142,42,Andrew Mangiapane,CGY,27,"Apr. 4, 1996",Canada,184 lbs - 83 kg,"5'10"" - 178 cm","RW, LW",Left,166 - Round 6 - 2015 (CGY),,,,75,14,26,40,0.53,7,122,0.11,15:59,22.11,122,270,201,1.12,6.19,13.69,10.19,652,577,53.05,1298,1198,52,966,839,53.52,73.38,61.15,54.55,,,,,,,,,CGY,Standard (1-way),,"Aug. 2, 2022",26,Yes,Yes,M-NTC,3,RFA,UFA,2025,"$5,800,000 ",7.00%,"$5,800,000 ","$5,800,000 ","$5,800,000 ","$5,800,000 ",$0 ,$0 
143,43,Pavel Buchnevich,STL,28,"Apr. 17, 1995",Russia,197 lbs - 89 kg,"6'3"" - 191 cm","LW, RW, C",Left,75 - Round 3 - 2013 (NYR),,,,80,27,36,63,0.79,3,207,0.13,19:49,30.27,207,390,308,1.14,7.83,14.75,11.65,908,753,54.67,1791,1432,55.57,1307,1100,54.3,117.08,95.36,55.11,,,,,,,,,STL,Standard (1-way),Yes,"Jul. 27, 2021",26,Yes,,M-NTC,4,RFA,UFA,2025,"$5,800,000 ",7.10%,"$5,800,000 ","$6,900,000 ","$6,900,000 ","$6,900,000 ",$0 ,$0 
144,44,Esa Lindell,DAL,29,23-May-94,Finland,215 lbs - 98 kg,"6'3"" - 191 cm",LD,Left,74 - Round 3 - 2012 (DAL),,,,82,5,21,26,0.32,17,114,0.04,20:28,5.83,114,251,166,0.21,4.07,8.97,5.93,770,940,45.03,1491,1942,43.43,1096,1360,44.63,84.51,96.41,46.71,,,,,,,,,DAL,Standard (1-way),Yes,16-May-19,25,Yes,,NMC,6,RFA,UFA,2025,"$5,800,000 ",7.30%,"$5,800,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
145,45,Adam Pelech,NYI,28,"Aug. 16, 1994",Canada,218 lbs - 99 kg,"6'3"" - 191 cm",LD,Left,65 - Round 3 - 2012 (NYI),,,,58,1,15,16,0.28,-2,71,0.01,20:16,3.52,71,188,120,0.18,3.62,9.59,6.12,511,686,42.69,1027,1391,42.47,745,969,43.47,46.1,68.17,40.34,,,,,,,,,NYI,Standard (1-way),,"Aug. 6, 2021",26,Yes,Yes,NTC,8,RFA,UFA,2029,"$5,750,000 ",7.10%,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",$0 ,$0 
146,46,Trevor Zegras,ANA,22,"Mar. 20, 2001",United States,185 lbs - 84 kg,"6'0"" - 183 cm","C, LW",Left,9 - Round 1 - 2019 (ANA),,,,31,6,9,15,0.48,-1,73,0.08,17:05,7.79,72,133,104,0.91,8.38,15.48,12.11,284,234,54.83,547,466,54,405,343,54.14,33.25,23.78,58.3,,,,,,,,,ANA,Standard (1-way),,"Oct. 2, 2023",22,,,,3,RFA,RFA,2026,"$5,750,000 ",6.90%,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",$0 ,$0 
147,47,T.J. Oshie,WSH,36,"Dec. 23, 1986",United States,195 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,24 - Round 1 - 2005 (STL),,,,52,12,13,25,0.48,-6,90,0.13,16:52,18.54,90,197,158,1.27,6.16,13.48,10.81,446,409,52.16,974,873,52.73,670,603,52.63,61.65,47.09,56.69,,,,,,,,,WSH,Standard (1-way),Yes,"Jun. 23, 2017",30,,,M-NTC,8,UFA,UFA,2025,"$5,750,000 ",7.70%,"$5,750,000 ","$5,000,000 ","$4,000,000 ","$5,000,000 ","$1,000,000 ",$0 
148,48,Anthony Mantha,VGK,28,"Sep. 16, 1994",Canada,234 lbs - 106 kg,"6'5"" - 196 cm","LW, RW",Left,20 - Round 1 - 2013 (DET),,,,74,23,21,44,0.59,11,113,0.2,14:13,14.94,112,218,162,0.85,6.38,12.43,9.23,552,426,56.44,1132,896,55.82,806,618,56.6,59.44,41.31,59,,,,,,,,,DET,Standard (1-way),,"Nov. 3, 2020",25,Yes,,,4,RFA,UFA,2024,"$5,700,000 ",7.00%,"$5,700,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
149,49,Igor Shesterkin,NYR,27,"Dec. 30, 1995",Russia,192 lbs - 87 kg,"6'2"" - 188 cm",G,Left,118 - Round 4 - 2014 (NYR),,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,17,4,2.58,0.912,2.58,2.92,0.34,NYR,Standard (1-way),,"Aug. 9, 2021",25,Yes,,M-NTC,4,RFA,UFA,2025,"$5,666,667 ",7.00%,"$5,666,667 ","$7,000,000 ","$5,000,000 ","$7,000,000 ","$2,000,000 ",$0 
150,0,Andrew Copp,DET,28,"Jul. 8, 1994",United States,206 lbs - 93 kg,"6'1"" - 185 cm","C, LW, RW",Left,104 - Round 4 - 2013 (WPG),,,,79,13,20,33,0.42,-2,109,0.12,16:16,13.93,109,193,152,0.65,5.09,9.01,7.09,516,734,41.28,1008,1535,39.64,727,1105,39.68,52.72,88.05,37.45,,,,,,,,,DET,Standard (1-way),,"Jul. 13, 2022",27,,,M-NTC,5,UFA,UFA,2027,"$5,625,000 ",6.80%,"$5,625,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ",$0 ,$0 
151,1,Vincent Trocheck,NYR,29,"Jul. 11, 1993",United States,183 lbs - 83 kg,"5'10"" - 178 cm","C, RW",Right,64 - Round 3 - 2011 (FLA),,,,82,25,52,77,0.94,16,215,0.12,21:27,34.52,216,447,363,1.18,7.37,15.24,12.38,1117,838,57.14,2271,1594,58.76,1679,1190,58.52,141.18,94.56,59.89,,,,,,,,,NYR,Standard (1-way),,"Jul. 13, 2022",28,,,NMC,7,UFA,UFA,2029,"$5,625,000 ",6.80%,"$5,625,000 ","$6,500,000 ","$3,500,000 ","$6,500,000 ","$3,000,000 ",$0 
152,2,Tyler Bertuzzi,TOR,28,"Feb. 24, 1995",Canada,200 lbs - 91 kg,"6'2"" - 188 cm","LW, RW",Left,58 - Round 2 - 2013 (DET),,,,80,21,22,43,0.54,2,160,0.13,16:02,27.59,160,307,239,1.29,7.48,14.35,11.17,765,561,57.69,1553,1187,56.68,1089,845,56.31,89.31,59.15,60.16,,,,,,,,,TOR,Standard (1-way),,"Jul. 2, 2023",28,,,NMC,1,UFA,UFA,2024,"$5,500,000 ",6.60%,"$5,500,000 ","$5,500,000 ","$775,000 ","$5,500,000 ","$4,725,000 ",$0 
153,3,Travis Konecny,PHI,26,"Mar. 11, 1997",Canada,175 lbs - 79 kg,"5'10"" - 178 cm","RW, LW",Right,24 - Round 1 - 2015 (PHI),,,,76,33,35,68,0.89,4,244,0.14,19:50,28.08,244,491,367,1.12,9.71,19.54,14.6,969,694,58.27,1920,1403,57.78,1369,989,58.06,99.14,83.88,54.17,,,,,,,,,PHI,Standard (1-way),,"Sep. 16, 2019",22,,,,6,RFA,UFA,2025,"$5,500,000 ",6.70%,"$5,500,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
154,4,André Burakovsky,SEA,28,"Feb. 9, 1995",Austria,201 lbs - 91 kg,"6'3"" - 191 cm","RW, LW",Left,23 - Round 1 - 2013 (WSH),,,,49,7,9,16,0.33,-15,92,0.08,14:33,8.77,87,199,126,0.76,7.48,17.11,10.84,365,313,53.83,805,640,55.71,532,450,54.18,37.94,30.91,55.11,,,,,,,,,SEA,Standard (1-way),,"Jul. 13, 2022",27,,,M-NTC,5,UFA,UFA,2027,"$5,500,000 ",6.70%,"$5,500,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ",$0 ,$0 
155,5,Jaden Schwartz,SEA,31,"Jun. 25, 1992",Canada,190 lbs - 86 kg,"5'10"" - 178 cm",LW,Left,14 - Round 1 - 2010 (STL),,,,62,13,17,30,0.48,-15,117,0.11,16:21,17.37,118,208,163,1.04,7.08,12.48,9.77,505,431,53.95,1091,830,56.79,750,624,54.59,57.74,45.6,55.87,,,,,,,,,SEA,Standard (1-way),,"Jul. 28, 2021",29,,,NMC,5,UFA,UFA,2026,"$5,500,000 ",6.70%,"$5,500,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
156,6,Josh Anderson,MTL,29,7-May-94,Canada,227 lbs - 103 kg,"6'3"" - 191 cm","RW, LW",Right,95 - Round 4 - 2012 (CBJ),,,,78,9,11,20,0.26,-18,141,0.06,15:27,21.14,141,277,224,1.05,7.01,13.78,11.14,572,647,46.92,1188,1267,48.39,849,896,48.65,62.85,64.81,49.23,,,,,,,,,MTL,Standard (1-way),Yes,"Oct. 8, 2020",26,Yes,,M-NTC,7,RFA,UFA,2027,"$5,500,000 ",6.70%,"$5,500,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
157,7,Adrian Kempe,LAK,26,"Sep. 13, 1996",Sweden,201 lbs - 91 kg,"6'2"" - 188 cm","LW, RW",Left,29 - Round 1 - 2014 (LAK),,,,77,28,47,75,0.97,13,246,0.11,18:56,25.57,245,493,350,1.07,10.22,20.56,14.6,782,634,55.23,1586,1259,55.75,1137,918,55.33,90.55,73.59,55.17,,,,,,,,,LAK,Standard (1-way),Yes,"Jul. 8, 2022",25,Yes,,,4,RFA,UFA,2026,"$5,500,000 ",6.70%,"$5,500,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",$0 ,$0 
158,8,Andrei Kuzmenko,CGY,27,"Feb. 4, 1996",Russia,194 lbs - 88 kg,"5'11"" - 180 cm","LW, RW",Right,,,,,72,22,24,46,0.64,-9,121,0.18,14:53,18.29,118,260,193,1.04,6.71,14.79,10.98,640,439,59.31,1335,803,62.44,955,611,60.98,78.56,46.89,62.62,,,,,,,,,VAN,Standard (1-way),Yes,"Jan. 26, 2023",27,,,M-NTC,2,UFA,UFA,2025,"$5,500,000 ",6.70%,"$5,500,000 ","$5,500,000 ","$3,500,000 ","$5,500,000 ","$2,000,000 ",$0 
159,9,Zach Hyman,EDM,31,"Jun. 9, 1992",Canada,211 lbs - 96 kg,"6'1"" - 185 cm","RW, LW",Right,123 - Round 5 - 2010 (FLA),,,,80,54,23,77,0.96,36,290,0.19,19:30,57.33,290,489,404,2.2,11.15,18.8,15.54,1175,634,64.95,2219,1183,65.23,1653,865,65.65,154.29,68.77,69.17,,,,,,,,,EDM,Standard (1-way),,"Jul. 28, 2021",29,,,NMC,7,UFA,UFA,2028,"$5,500,000 ",6.70%,"$5,500,000 ","$7,650,000 ","$7,650,000 ","$7,650,000 ",$0 ,$0 
160,10,Phillip Danault,LAK,30,"Feb. 24, 1993",Canada,201 lbs - 91 kg,"6'1"" - 185 cm",C,Left,26 - Round 1 - 2011 (CHI),,,,78,17,30,47,0.6,12,159,0.11,18:01,19.51,157,274,217,0.84,6.79,11.85,9.39,807,641,55.73,1543,1291,54.45,1168,909,56.23,84.77,69.45,54.96,,,,,,,,,LAK,Standard (1-way),,"Jul. 28, 2021",28,,,NMC,6,UFA,UFA,2027,"$5,500,000 ",6.70%,"$5,500,000 ","$6,750,000 ","$3,750,000 ","$6,750,000 ","$3,000,000 ",$0 
161,11,Jordan Eberle,SEA,33,15-May-90,Canada,187 lbs - 85 kg,"5'11"" - 180 cm",RW,Right,22 - Round 1 - 2008 (EDM),,,,78,17,27,44,0.56,1,168,0.1,17:26,22.92,165,306,239,1.02,7.37,13.67,10.68,766,537,58.79,1598,1060,60.12,1122,802,58.32,85.14,58.09,59.44,,,,,,,,,NYI,Standard (1-way),Yes,"Jun. 14, 2019",29,,,M-NTC,5,UFA,UFA,2024,"$5,500,000 ",6.90%,"$5,500,000 ","$3,750,000 ","$3,750,000 ","$3,750,000 ",$0 ,$0 
162,12,Elvis Merzlikins,CBJ,29,"Apr. 13, 1994",Latvia,181 lbs - 82 kg,"6'3"" - 191 cm",G,Left,76 - Round 3 - 2014 (CBJ),,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,1,3.45,0.897,3.45,3.55,0.1,CBJ,Standard (1-way),Yes,"Sep. 21, 2021",28,,,M-NTC,5,UFA,UFA,2027,"$5,400,000 ",6.60%,"$5,400,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
163,13,Oliver Bjorkstrand,SEA,28,"Apr. 10, 1995",Denmark,177 lbs - 80 kg,"6'0"" - 183 cm","RW, LW",Right,89 - Round 3 - 2013 (CBJ),,,,82,20,39,59,0.72,-20,186,0.11,16:10,19,186,425,296,0.87,8.5,19.43,13.53,718,569,55.79,1598,1110,59.01,1097,837,56.72,80.75,57.32,58.48,,,,,,,,,CBJ,Standard (1-way),Yes,"Jan. 6, 2021",26,Yes,,M-NTC,5,RFA,UFA,2026,"$5,400,000 ",6.60%,"$5,400,000 ","$5,350,000 ","$5,350,000 ","$5,350,000 ",$0 ,$0 
